country,session_id,count_sess
1,13961,3
2,23824,17
2,12909,14
2,4392,6
2,8111,6
2,15909,4
2,20398,4
2,14579,2
2,22896,2
2,3985,1
2,4389,1
2,9062,1
3,4644,43
3,8673,39
3,23068,25
3,4423,23
3,5006,22
3,7475,20
3,22107,17
3,8321,14
3,8879,11
3,8530,10
3,9057,9
3,23069,7
3,19295,4
3,15335,3
3,18482,3
3,6531,2
3,1926,1
3,3736,1
3,18805,1
3,22595,1
4,16048,1
5,22836,4
6,10746,5
7,555,7
7,4429,2
8,1727,1
9,13846,192
9,23383,108
9,16553,96
9,19777,96
9,12513,89
9,6031,79
9,10658,71
9,6571,70
9,3654,69
9,7335,66
9,7649,65
9,9598,64
9,8663,62
9,2294,60
9,9875,60
9,17797,60
9,8512,57
9,12141,56
9,6975,55
9,22073,55
9,13657,53
9,6672,52
9,11353,52
9,13664,52
9,3327,50
9,12292,50
9,13146,50
9,4294,47
9,7119,47
9,19294,47
9,6488,46
9,7395,46
9,10064,46
9,21397,45
9,11882,44
9,7111,42
9,7989,42
9,49,41
9,5189,41
9,9614,41
9,10090,41
9,18274,41
9,462,40
9,7663,40
9,22464,40
9,8896,39
9,10096,39
9,12951,39
9,15890,39
9,16389,39
9,21044,39
9,6431,38
9,6533,38
9,11719,38
9,6131,37
9,7334,37
9,8210,37
9,13988,37
9,14204,37
9,6574,36
9,11700,36
9,2528,35
9,7233,35
9,11317,35
9,3609,34
9,6569,34
9,7889,34
9,4782,33
9,8411,33
9,14976,33
9,22898,33
9,23504,33
9,6121,32
9,6977,32
9,10297,32
9,10472,32
9,22361,32
9,2465,31
9,6117,31
9,9473,31
9,19087,31
9,8704,30
9,9203,30
9,10067,30
9,12893,30
9,13934,30
9,14206,30
9,15219,30
9,17804,30
9,21047,30
9,22463,30
9,2335,29
9,9910,29
9,10200,29
9,21293,29
9,9059,28
9,1848,27
9,2119,27
9,5228,27
9,7078,27
9,8495,27
9,9884,27
9,10764,27
9,12950,27
9,21312,27
9,22489,27
9,23532,27
9,2317,26
9,6775,26
9,8874,26
9,18464,26
9,22676,26
9,253,25
9,493,25
9,539,25
9,6356,25
9,6693,25
9,7227,25
9,7495,25
9,7847,25
9,10293,25
9,14119,25
9,17539,25
9,21209,25
9,23042,25
9,899,24
9,2135,24
9,2809,24
9,4594,24
9,8529,24
9,8862,24
9,12161,24
9,12478,24
9,15154,24
9,18290,24
9,18839,24
9,19469,24
9,23785,24
9,43,23
9,2826,23
9,5831,23
9,7477,23
9,7894,23
9,12710,23
9,16085,23
9,18837,23
9,21448,23
9,1197,22
9,2356,22
9,3290,22
9,4583,22
9,6520,22
9,7852,22
9,8525,22
9,15553,22
9,15826,22
9,19416,22
9,19655,22
9,1487,21
9,3585,21
9,3722,21
9,6729,21
9,9060,21
9,9297,21
9,12728,21
9,12907,21
9,13234,21
9,13953,21
9,14770,21
9,21223,21
9,23635,21
9,749,20
9,3325,20
9,4139,20
9,4848,20
9,6020,20
9,7467,20
9,7696,20
9,9017,20
9,9047,20
9,9931,20
9,10070,20
9,10610,20
9,11555,20
9,12927,20
9,13052,20
9,13455,20
9,13473,20
9,15115,20
9,15951,20
9,18272,20
9,19139,20
9,21923,20
9,2050,19
9,2204,19
9,2877,19
9,2918,19
9,4579,19
9,5454,19
9,12924,19
9,13716,19
9,14443,19
9,14793,19
9,15884,19
9,18958,19
9,20015,19
9,2961,18
9,3649,18
9,3987,18
9,4847,18
9,6443,18
9,6734,18
9,7322,18
9,8062,18
9,8112,18
9,9023,18
9,9235,18
9,10498,18
9,13094,18
9,14593,18
9,14962,18
9,15323,18
9,15458,18
9,18488,18
9,22068,18
9,22218,18
9,22528,18
9,485,17
9,912,17
9,920,17
9,1453,17
9,1570,17
9,1660,17
9,1679,17
9,4606,17
9,6509,17
9,8669,17
9,9392,17
9,9868,17
9,10291,17
9,10479,17
9,10763,17
9,11183,17
9,11500,17
9,11895,17
9,12901,17
9,13502,17
9,14056,17
9,14278,17
9,14504,17
9,15117,17
9,15862,17
9,19653,17
9,22253,17
9,1532,16
9,1929,16
9,1958,16
9,2381,16
9,2407,16
9,2956,16
9,3832,16
9,4365,16
9,5628,16
9,5817,16
9,6119,16
9,6440,16
9,6978,16
9,7451,16
9,9067,16
9,9443,16
9,9639,16
9,10666,16
9,10776,16
9,12708,16
9,12900,16
9,13804,16
9,15317,16
9,15695,16
9,17648,16
